Discord Username,Summoner IGN,Pos,Team Name,Rank Score,Stated Rank,True Peak Rank,Peak Ego Rank,Current Ego Rank,S2024 S3 Peak,S2024 S2 Peak,S2024 S1 Peak,S2023 S2 Peak,S2023 S1 Peak,Twitch Stream
jun_with_an_e,jun#9845,SUP,AWB,35,Gold 1-4,Emerald 4 18 LP,,,,Platinum 4 23 LP,Platinum 4 6 LP,Emerald 4 18 LP,,
isolation19,Isolation#1909,BOT,SMA,35,Gold 1-4,Platinum 4 70 LP,Gold 2 55 LP,Gold 3 77 LP,,Platinum 4 70 LP,,,,
NemakuNa,NemakuNa#NA1,SUP,,35,Gold 1-4,Platinum 4 94 LP,Gold 4 3 LP,,,Gold 4 94 LP,Platinum 4 0 LP,Platinum 4 94 LP,Gold 4 2 LP,
chaos0002,OkNowImTilted#Aim,TOP|MID,NC,36,Gold 1-4,Emerald 4 0 LP,Gold 3 73 LP,,,Emerald 4 0 LP,,,Gold 2 16 LP,
Colby115,Harbinger#115,TOP,TWO,36,Gold 1-4,Platinum 4 1 LP,Gold 4 93 LP,Gold 4 46 LP,,,Platinum 4 1 LP,,,
nerfseason,nerf season#lord,TOP,,36,Platinum 1-4,Emerald 4 20 LP,,,,Platinum 1 19 LP,Emerald 4 20 LP,,Gold 1 0 LP,
atamaex,Atamaex#NA1,TOP|SUP,GT,36,Gold 1-4,Gold 2 30 LP,Gold 2 30 LP,Gold 2 30 LP,,,,,,
SwooshWRLD,SwooshWRLD#0334,MID|SUP,NC,37,Gold 1-4,Platinum 4 0 LP,Gold 4 72 LP,Gold 4 47 LP,,Platinum 4 0 LP,,,,
Dreadsu,callmeid#SNIP,TOP,,37,Gold 1-4,Gold 3 59 LP,Gold 3 59 LP,Gold 4 73 LP,,Silver 3 53 LP,,,,
Scardeo,scardeo#NA1|Eodracs#NA1,TOP|MID,MDFC,37,Silver 1-4,Gold 2 77 LP,,,,Gold 2 77 LP,Gold 4 26 LP,Gold 3 39 LP,,
iamrowx,Row#RowX,SUP,,38,Gold 1-4,Gold 2 95 LP,Gold 2 95 LP,,,Gold 3 23 LP,,,Gold 4 3 LP,
